iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
KAZ,Asia,Kazakhstan,6/29/2020,21327,547,183,10,1135.822,29.132,9.746,0.533,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6
KEN,Africa,Kenya,6/29/2020,6070,259,143,2,112.885,4.817,2.659,0.037,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
OWID_KOS,Europe,Kosovo,6/29/2020,2169,0,37,0,1122.221,0,19.143,0,1932774,168.155,,,,9795.834,0.6,,,,,,,
KWT,Asia,Kuwait,6/29/2020,44942,551,348,4,10523.671,129.023,81.488,0.937,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49
KGZ,Asia,Kyrgyzstan,6/29/2020,5017,269,50,3,768.984,41.231,7.664,0.46,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45
LAO,Asia,Laos,6/29/2020,19,0,0,0,2.611,0,0,0,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92
LVA,Europe,Latvia,6/29/2020,1116,1,30,0,591.665,0.53,15.905,0,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29
LBN,Asia,Lebanon,6/29/2020,1740,21,34,1,254.929,3.077,4.981,0.147,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93
LSO,Africa,Lesotho,6/29/2020,27,3,0,0,12.604,1.4,0,0,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33
LBR,Africa,Liberia,6/29/2020,768,39,34,0,151.848,7.711,6.722,0,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1
LBY,Africa,Libya,6/29/2020,762,49,21,3,110.896,7.131,3.056,0.437,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91
LIE,Europe,Liechtenstein,6/29/2020,83,0,1,0,2176.364,0,26.221,0,38137,237.012,,,,,,,7.77,,,,2.397,82.49
LTU,Europe,Lithuania,6/29/2020,1816,3,78,0,667.085,1.102,28.652,0,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93
LUX,Europe,Luxembourg,6/29/2020,4242,25,110,0,6776.618,39.938,175.726,0,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25
MKD,Europe,Macedonia,6/29/2020,6092,176,286,9,2924.095,84.478,137.277,4.32,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8
